business_name,url,n_sentences,n_climate,n_claims,density,positivity,vagueness,gsi
Accuvision LASIK,https://www.accuvision.com/,12,0,0,,,,0
Ekologicall,https://ekologicall.com/?srsltid=AfmBOoon8p-xL3K1daO75vDSGM8tf-jdgMgMwQYzNwPKegAdA5pDUdRY,50,20,15,30.0%,0.88,47%,0.7696
Ballantyne Jewelers,https://ballantynejewelers.com/,6,0,0,,,,0
Paper Skyscraper,https://www.paperskyscraper.com/?srsltid=AfmBOoo-ZP3K5Po8NOBXRLjQlV-mOe5tFYccybOEm4fnIfBeM4tSXxXC,15,0,0,,,,0
Bishops Charlotte Midtown,https://bishops.co/,40,9,2,5.0%,0.67,100%,0.6333
Brothers Gutters,https://brothersgutters.com/,16,6,3,18.8%,0.67,33%,0.5375
Trugreen LawnCare Charlotte,https://www.trugreen.com/b/ppc/trugreen-lawn-care?infinity=ict2~net~gaw~ar~806592814001~kw~trugreen%20charlotte~mt~e~cmp~Google%7CUS%7CLawn%7CBrand%7CGeneral~ag~Locations%7CUS%7CLawn%7CBrand%7CExact&MarketingPartner=Google&AdType=CPC&keyword=trugreen%20charlotte&campaign=Google%7CUS%7CLawn%7CBrand%7CGeneral&adcopy=&ptaid=kwd-326601135538&pgrid=195590998729&geoGGL=9009968&&&&&gclsrc=aw.ds&gad_source=1&gad_campaignid=22012044381&gbraid=0AAAAADsjn2_UzYM5BmuXwaQbP5NmV5eRt&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefGqT8togH5vuztxyKYTDwH0f8LFgaa7LVqLRk5l4Y4AiM2UmdJrdNEaAjQqEALw_wcB,71,25,8,11.3%,0.64,38%,0.4679
Aruza Pest Control,https://www.aruzapest.com/,44,2,0,,,,0
Carolina Premier Moving,https://carolinapremiermoving.com/,60,4,2,3.3%,0.62,0%,0.2521
CLT Tree,https://clttree.com/,0,0,0,,,,
Sage Pest Control,https://sagepestcontrol.com/,75,11,3,4.0%,0.41,100%,0.5332
DishCourse,https://dishcourse.com/,0,0,0,,,,
Falcone Crawl Space & Structural Repair,https://falconecrawlspace.com/,59,20,3,5.1%,0.60,33%,0.3775
FastAid Appliance Repair,https://fastaidappliancerepair.com/,0,0,0,,,,
Morris-Jenkins,https://morrisjenkins.com/,24,10,0,,,,0
Gymboree,https://www.gymboreeclasses.com/,40,0,0,,,,0
Empower Efficiency,http://www.empowerefficiency.com/,13,6,5,38.5%,1.00,100%,1.0
Hi-Line Autohaus,https://hilineautohaus.com/,241,12,3,1.2%,0.67,0%,0.2458
Home Clean Heroes of North Charlotte,https://homecleanheroes.com/,41,14,9,22.0%,0.86,89%,0.8306
IDEA Lab Kids,https://idealabkids.com/,5,0,0,,,,0
Boem,https://www.shopboem.com/,0,0,0,,,,
Cheat’s Cheesesteaks,https://eatcheats.com/,17,2,1,5.9%,0.50,0%,0.2338
Jones Dry Cleaning,https://jonesdrycleaning.com/,10,3,2,20.0%,1.00,0%,0.55
American Dry Cleaners,https://www.americandrycleaners.net/,0,0,0,,,,
Moost Bags,https://moostbags.com/,18,6,2,11.1%,0.75,0%,0.3736
My Outdoor Joy,https://myoutdoorjoy.com/,0,0,0,,,,
NailedIt DIY South Charlotte,https://naileditdiy.com/,0,0,0,,,,
The Butcher Market,https://thebutchermarket.com/,36,3,2,5.6%,0.50,50%,0.4056
Carolina Tiki,https://partypontoon.com/,56,3,1,1.8%,0.83,0%,0.3095
Urbane South,https://www.urbanesouth.com/,11,2,0,,,,0
Chosen Charlotte,https://www.chosenapparelboutique.com/?srsltid=AfmBOorsuu5xYjy9ZrW6JA2O74evhSOoqL1idiuAW9GntWEl11GHxVMj,5,0,0,,,,0
Purifi IV Charlotte,https://purifiiv.com/,21,6,2,9.5%,0.83,0%,0.3869
Remedy Pest Control,https://remedypestcontrol.com/,0,0,0,,,,
Trash & Stash Junk Removal,https://trashandstash.com/,104,31,7,6.7%,0.63,14%,0.3375
ReVision Charlotte,https://revisioncharlotte.com/,19,3,3,15.8%,0.67,100%,0.7412
Piedmont Plastics,https://www.piedmontplastics.com/locations/charlotte?srsltid=AfmBOoqm7eIQFRxeQWS8fkeLZfXSuMhFLmYxgs8Oqplob2OsV6PpwLyi,39,19,7,17.9%,0.89,14%,0.5426
Carolina Premier Moving,https://carolinapremiermovingnc.com/,0,0,0,,,,
Small City Farm,https://smallcityfarm.com/,29,0,0,,,,0
Haven Farm,https://havenfarmnc.com/pages/buy-a-whole-or-half-hog,56,21,5,8.9%,0.67,60%,0.5326
The Foodie School,https://thefoodieschool.com/,83,0,0,,,,0
To You Tents,https://toyoutents.com/,6,0,0,,,,0
